"","pid","hid","sex","mastat","age","qfachi","lknbrd","paygu","region","wave","N","pay_lag","paych"
"322",10197087,2017601,2,6,44,2,1,NA,1,2,2,1740.33874511719,NA
"323",10198202,1016547,1,2,74,7,2,NA,1,1,2,NA,NA
"324",10198202,2017679,1,3,75,7,1,NA,1,2,2,NA,NA
"325",10198237,1016547,2,2,65,7,2,299,1,1,2,NA,NA
"326",10198237,2017679,2,4,66,7,2,277.333343505859,1,2,2,299,-21.6666564941406
"327",10199691,1016679,1,6,39,2,1,NA,1,1,2,NA,NA
"328",10199691,2017814,1,6,40,2,1,NA,1,2,2,NA,NA
"329",10200436,1016733,2,1,32,5,1,NA,1,1,2,NA,NA
"330",10200436,2017881,2,1,34,NA,NA,NA,1,2,2,NA,NA
"331",10200479,1016733,1,1,30,1,1,NA,1,1,2,NA,NA
"332",10200479,2017881,1,1,31,1,1,NA,1,2,2,NA,NA
"333",10202676,1016911,1,2,26,4,1,NA,1,1,2,NA,NA
"334",10202676,2018179,1,6,27,4,1,NA,1,2,2,NA,NA
"335",10202706,1016911,1,2,27,6,1,816.628173828125,1,1,2,NA,NA
"336",10202706,2018179,1,6,28,6,1,816.628173828125,1,2,2,816.628173828125,0
"337",10204911,1017101,1,1,70,7,1,NA,1,1,2,NA,NA
"338",10204911,2018314,1,1,71,7,1,NA,1,2,2,NA,NA
"339",10204946,1017101,2,1,73,7,1,NA,1,1,2,NA,NA
"340",10204946,2018314,2,1,73,7,1,NA,1,2,2,NA,NA
"341",10208283,1017381,1,6,36,4,1,NA,1,1,2,NA,NA
"342",10208283,2018527,1,6,37,4,1,NA,1,2,2,NA,NA
"343",10209409,1017489,1,6,46,7,1,715,1,1,2,NA,NA
"344",10209409,2018594,1,6,47,7,1,651.442810058594,1,2,2,715,-63.5571899414062
"345",10210512,1017578,1,1,34,5,1,NA,1,1,2,NA,NA
"346",10210512,2018667,1,1,35,5,1,NA,1,2,2,NA,NA
"347",10210547,1017578,2,1,31,5,1,439.337951660156,1,1,2,NA,NA
